name,position,adp
Todd Gurley II,RB1,1.0
Le'Veon Bell,RB2,2.4
David Johnson,RB3,2.6
Ezekiel Elliott,RB4,4.0
Antonio Brown,WR1,5.2
Alvin Kamara,RB5,6.2
Saquon Barkley,RB6,6.6
DeAndre Hopkins,WR2,8.8
Leonard Fournette,RB7,10.0
Kareem Hunt,RB8,10.2
Odell Beckham Jr.,WR3,11.0
Melvin Gordon III,RB9,11.2
Julio Jones,WR4,12.6
Dalvin Cook,RB10,14.2
Christian McCaffrey,RB11,14.8
Michael Thomas,WR5,15.8
Keenan Allen,WR6,16.4
Davante Adams,WR7,18.8
Devonta Freeman,RB12,19.2
A.J. Green,WR8,20.2
Rob Gronkowski,TE1,20.6
Mike Evans,WR9,23.4
Jordan Howard,RB13,23.6
Joe Mixon,RB14,23.8
Travis Kelce,TE2,26.6
LeSean McCoy,RB15,26.8
Tyreek Hill,WR10,26.8
Aaron Rodgers,QB1,28.2
T.Y. Hilton,WR11,28.2
Stefon Diggs,WR12,29.8
Adam Thielen,WR13,31.8
Larry Fitzgerald,WR14,33.6
Kenyan Drake,RB16,34.4
Amari Cooper,WR15,34.6
Zach Ertz,TE3,35.0
Doug Baldwin,WR16,37.0
Alex Collins,RB17,37.4
Jarvis Landry,WR17,38.4
Royce Freeman,RB18,41.2
Derrick Henry,RB19,42.2
Demaryius Thomas,WR18,43.2
Jay Ajayi,RB20,43.8
JuJu Smith-Schuster,WR19,44.0
Brandin Cooks,WR20,45.4
Golden Tate,WR21,45.8
Lamar Miller,RB21,46.8
Tom Brady,QB2,47.8
Deshaun Watson,QB3,47.8
Allen Robinson II,WR22,48.0
Josh Gordon,WR23,48.6
Mark Ingram II,RB22,52.2
Russell Wilson,QB4,54.4
Jimmy Graham,TE4,54.4
Marvin Jones Jr.,WR24,54.8
Chris Hogan,WR25,55.0
Greg Olsen,TE5,56.4
Dion Lewis,RB23,56.4
Marshawn Lynch,RB24,61.4
Cam Newton,QB5,63.4
Corey Davis,WR26,63.6
Carlos Hyde,RB25,65.8
Michael Crabtree,WR27,66.4
Evan Engram,TE6,66.4
Marquise Goodwin,WR28,67.0
Emmanuel Sanders,WR29,67.0
Rex Burkhead,RB26,69.8
Drew Brees,QB6,71.4
Tevin Coleman,RB27,71.8
Julian Edelman,WR30,72.2
Delanie Walker,TE7,73.0
Alshon Jeffery,WR31,73.4
Kyle Rudolph,TE8,77.2
Kerryon Johnson,RB28,77.8
Jamaal Williams,RB29,78.0
William Fuller V,WR32,79.8
Sammy Watkins,WR33,80.2
Carson Wentz,QB7,81.2
Robert Woods,WR34,82.4
Sony Michel,RB30,82.8
Devin Funchess,WR35,82.8
Rashaad Penny,RB31,83.6
Jordan Reed,TE9,84.6
Cooper Kupp,WR36,85.0
Trey Burton,TE10,85.6
Tarik Cohen,RB32,85.6
Duke Johnson Jr.,RB33,86.6
Kirk Cousins,QB8,88.0
Jamison Crowder,WR37,88.4
Robbie Chosen,WR38,89.8
Chris Carson,RB34,90.4
Andrew Luck,QB9,92.0
Pierre Garcon,WR39,92.6
Jordy Nelson,WR40,93.2
Isaiah Crowell,RB35,94.8
Matthew Stafford,QB10,97.0
Randall Cobb,WR41,99.4
Ben Roethlisberger,QB11,100.6
Nelson Agholor,WR42,102.0
Marlon Mack,RB36,104.8
Jimmy Garoppolo,QB12,105.2
Sterling Shepard,WR43,105.6
Peyton Barber,RB37,106.4
Matt Ryan,QB13,107.0
Jack Doyle,TE11,108.6
Chris Thompson,RB38,109.0
Philip Rivers,QB14,109.0
Ronald Jones II,RB39,112.4
David Njoku,TE12,112.6
Kelvin Benjamin,WR44,113.8
Kenny Stills,WR45,115.8
James White,RB40,116.0
Aaron Jones,RB41,116.8
Patrick Mahomes II,QB15,120.8
Jared Goff,QB16,121.0
DeVante Parker,WR46,125.2
Allen Hurns,WR47,125.2
Adrian Peterson,RB42,125.4
Nick Chubb,RB43,127.4
C.J. Anderson,RB44,130.2
Greg Zuerlein,K1,134.2
Alex Smith,QB17,134.4
Matt Breida,RB45,134.8
Calvin Ridley,WR48,135.6
Stephen Gostkowski,K2,136.2
Keelan Cole Sr.,WR49,136.4
George Kittle,TE13,136.8
Ty Montgomery II,RB46,137.2
Marcus Mariota,QB18,137.4
Tyler Eifert,TE14,137.4
Jacksonville Jaguars DST,DST1,86.0
Derek Carr,QB19,138.4
DJ Moore,WR50,139.0
Giovani Bernard,RB47,141.4
Dak Prescott,QB20,141.8
Justin Tucker,K3,142.2
Bilal Powell,RB48,142.4
Latavius Murray,RB49,142.6
