name,position,adp
David Johnson,RB1,1.0
Le'Veon Bell,RB2,2.0
Antonio Brown,WR1,3.0
Julio Jones,WR2,4.0
Odell Beckham Jr.,WR3,5.2
LeSean McCoy,RB3,6.4
Mike Evans,WR4,7.0
A.J. Green,WR5,8.6
Devonta Freeman,RB4,9.4
Melvin Gordon III,RB5,9.6
Jordy Nelson,WR6,10.4
Michael Thomas,WR7,12.0
Jordan Howard,RB6,14.4
DeMarco Murray,RB7,14.4
Jay Ajayi,RB8,15.0
Ezekiel Elliott,RB9,15.4
Amari Cooper,WR8,18.0
Todd Gurley II,RB10,18.6
Brandin Cooks,WR9,19.8
Rob Gronkowski,TE1,19.8
Dez Bryant,WR10,20.2
Aaron Rodgers,QB1,22.8
Doug Baldwin,WR11,22.8
Leonard Fournette,RB11,24.8
T.Y. Hilton,WR12,26.2
Christian McCaffrey,RB12,27.2
DeAndre Hopkins,WR13,28.2
Demaryius Thomas,WR14,30.2
Lamar Miller,RB13,30.6
Tom Brady,QB2,30.8
Keenan Allen,WR15,32.6
Terrelle Pryor Sr.,WR16,33.4
Isaiah Crowell,RB14,33.8
Dalvin Cook,RB15,34.2
Marshawn Lynch,RB16,35.8
Travis Kelce,TE2,36.0
Alshon Jeffery,WR17,37.0
Kareem Hunt,RB17,38.2
Michael Crabtree,WR18,41.0
Carlos Hyde,RB18,41.4
Davante Adams,WR19,41.6
Ty Montgomery II,RB19,42.0
Drew Brees,QB3,42.8
Joe Mixon,RB20,43.8
Golden Tate,WR20,46.4
Allen Robinson II,WR21,47.2
Larry Fitzgerald,WR22,47.8
Greg Olsen,TE3,48.0
Tyreek Hill,WR23,50.4
Jordan Reed,TE4,50.6
Kelvin Benjamin,WR24,51.2
Martavis Bryant,WR25,51.2
Jarvis Landry,WR26,52.8
Mark Ingram II,RB21,55.6
Matt Ryan,QB4,56.0
Stefon Diggs,WR27,56.8
Jimmy Graham,TE5,58.0
Bilal Powell,RB22,58.8
Sammy Watkins,WR28,59.0
Emmanuel Sanders,WR29,60.0
C.J. Anderson,RB23,60.8
DeVante Parker,WR30,61.4
Russell Wilson,QB5,63.8
Jamison Crowder,WR31,63.8
Ameer Abdullah,RB24,64.0
Brandon Marshall,WR32,67.0
Danny Woodhead,RB25,67.8
Pierre Garcon,WR33,70.0
Tevin Coleman,RB26,71.2
Kyle Rudolph,TE6,74.2
Adrian Peterson,RB27,75.4
Doug Martin,RB28,76.0
Mike Gillislee,RB29,77.8
Delanie Walker,TE7,78.4
Zach Ertz,TE8,78.4
Tyler Eifert,TE9,78.8
Frank Gore,RB30,80.8
Jameis Winston,QB6,81.4
Theo Riddick,RB31,82.8
Robert Kelley,RB32,83.6
Kirk Cousins,QB7,84.4
Paul Perkins,RB33,84.6
Jeremy Maclin,WR34,84.6
Willie Snead IV,WR35,84.8
Marcus Mariota,QB8,84.8
Derek Carr,QB9,85.2
Cam Newton,QB10,86.8
DeSean Jackson,WR36,87.2
Martellus Bennett,TE10,89.8
Derrick Henry,RB34,90.0
Eric Decker,WR37,90.4
Randall Cobb,WR38,90.6
Duke Johnson Jr.,RB35,92.8
Tyrell Williams,WR39,93.0
Terrance West,RB36,95.4
Andrew Luck,QB11,99.6
Adam Thielen,WR40,100.8
Eddie Lacy,RB37,101.6
LeGarrette Blount,RB38,102.6
Darren McFadden,RB39,103.0
Chris Hogan,WR41,103.6
Ben Roethlisberger,QB12,104.0
Hunter Henry,TE11,106.2
James White,RB40,107.8
Corey Coleman,WR42,109.0
Dak Prescott,QB13,109.8
Matthew Stafford,QB14,113.6
