position,adp
RB,1.0
RB,2.4
RB,2.6
RB,4.0
WR,5.2
RB,6.2
RB,6.6
WR,8.8
RB,10.0
RB,10.2
WR,11.0
RB,11.2
WR,12.6
RB,14.2
RB,14.8
WR,15.8
WR,16.4
WR,18.8
RB,19.2
WR,20.2
TE,20.6
WR,23.4
RB,23.6
RB,23.8
TE,26.6
RB,26.8
WR,26.8
QB,28.2
WR,28.2
WR,29.8
WR,31.8
WR,33.6
RB,34.4
WR,34.6
TE,35.0
WR,37.0
RB,37.4
WR,38.4
RB,41.2
RB,42.2
WR,43.2
RB,43.8
WR,44.0
WR,45.4
WR,45.8
RB,46.8
QB,47.8
QB,47.8
WR,48.0
WR,48.6
RB,52.2
QB,54.4
TE,54.4
WR,54.8
WR,55.0
TE,56.4
RB,56.4
RB,61.4
QB,63.4
WR,63.6
RB,65.8
WR,66.4
TE,66.4
WR,67.0
WR,67.0
RB,69.8
QB,71.4
RB,71.8
WR,72.2
TE,73.0
WR,73.4
TE,77.2
RB,77.8
RB,78.0
WR,79.8
WR,80.2
QB,81.2
WR,82.4
RB,82.8
WR,82.8
RB,83.6
TE,84.6
WR,85.0
TE,85.6
RB,85.6
RB,86.6
QB,88.0
WR,88.4
WR,89.8
RB,90.4
QB,92.0
WR,92.6
WR,93.2
RB,94.8
QB,97.0
WR,99.4
QB,100.6
WR,102.0
RB,104.8
QB,105.2
WR,105.6
RB,106.4
QB,107.0
TE,108.6
RB,109.0
QB,109.0
RB,112.4
TE,112.6
WR,113.8
WR,115.8
RB,116.0
RB,116.8
QB,120.8
QB,121.0
WR,125.2
WR,125.2
RB,125.4
RB,127.4
RB,130.2
K,134.2
QB,134.4
RB,134.8
WR,135.6
K,136.2
WR,136.4
TE,136.8
RB,137.2
QB,137.4
TE,137.4
DST,86.0
QB,138.4
WR,139.0
RB,141.4
QB,141.8
K,142.2
RB,142.4
RB,142.6
WR,144.2
WR,144.6
RB,144.8
RB,145.0
WR,148.2
WR,150.0
DST,104.8
WR,153.0
RB,154.4
DST,112.0
DST,114.0
RB,162.0
RB,165.8
WR,166.0
WR,166.6
RB,169.2
WR,177.2
WR,173.2
DST,132.8
DST,132.8
QB,175.8
K,176.4
K,178.2
K,178.6
K,179.4
DST,138.3
WR,180.2
RB,141.0
K,185.4
TE,147.8
WR,187.6
DST,151.5
WR,194.4
K,194.4
WR,158.0
TE,161.3
WR,161.5
WR,163.3
DST,164.3
QB,164.5
